"vItemNumber","vLocation","vDescription","vShortDesc","vLook","vSpecificColor","vGenColor","vGenMaterial","vGenItemType","vShape","vSizeType","vMetalColor","vMetalType","vDimensions","vPcCounts","vKeywords","vOnSale","vFeaturedItem","vSorting","vAggregation","itemprice_1","itemprice_2","quantityonhand","imagefilename","lookAttr","funcAttr","materialAttr"
"14772","900","These Clear Rectangle Plastic Bagettes are heavy duty and re-closable! Handy box caddy provides compact storage and easy pull-tab dispenser so that bags are kept tiny and at your fingertips. Great for keeping tiny items conveniently separated and organized. Perfect for office supplies, craft organizing, jewelry parts, etc. (BEADS NOT INCLUDED)","175pc Clear Rectangle Plastic Bagettes","Design and Storage","Clear","Clear","Plastic","Organizers","Rectangle",,,"","4x6in","175pc","Design, &, Storage, Clear, Clear/Crystal, Plastic, Organizers, 4X6In, 175Pc, Rectangle, Bagettes, Clear","N","N",999999,"",2.25,4.49,1238,"https://www.cousindiy.com/diyimages/14772.jpg, https://www.cousindiy.com/diyimages/14772-2.jpg, https://www.cousindiy.com/diyimages/14772-3.jpg, https://www.cousindiy.com/diyimages/14772-4.jpg, https://www.cousindiy.com/diyimages/14772-5.jpg","Design and Storage","Organizers","Plastic"
"14774","900","These Clear Rectangle Plastic Self-Sealing Bags create an elegant and professional presentation of crafts, pictures, jewelry, cookies, collectibles, gifts, and more! (BEADS NOT INCLUDED)","50pc Clear Rectangle Plastic Self-Sealing Bags","Design and Storage","Clear","Clear","Plastic","Organizers","Rectangle",,,"","4x6in","50pc","Design, &, Storage, Clear, Clear/Crystal, Plastic, Organizers, 4X6In, 50Pc, Rectangle, Self-Sealing, Bags, Clear","N","N",999999,"",1.25,2.49,2371,"https://www.cousindiy.com/diyimages/14774.jpg, https://www.cousindiy.com/diyimages/14774-2.jpg, https://www.cousindiy.com/diyimages/14774-3.jpg, https://www.cousindiy.com/diyimages/14774-4.jpg, https://www.cousindiy.com/diyimages/14774-5.jpg","Design and Storage","Organizers","Plastic"
"2591650","900","These trendy Gold  Metal Connectors are designed to create embellished connections. Great as stand-alone focal pieces or to add decorations to specific parts of your creations.","10pc Gold  Metal Connectors","Findings","Gold","Gold","Base Metal","Connectors","",,"Gold","","22x16mm","10pc","Metal, To, Connector, Gold, Findings, 1Piece, 22X16","N","N",999999,"",1,1.99,367,"https://www.cousindiy.com/diyimages/2591650.jpg, https://www.cousindiy.com/diyimages/2591650-2.jpg, https://www.cousindiy.com/diyimages/2591650-3.jpg, https://www.cousindiy.com/diyimages/2591650-4.jpg, https://www.cousindiy.com/diyimages/2591650-5.jpg","Findings","Connectors","Base Metal"
"14770","900","These Clear Rectangle Plastic Bagettes are heavy duty and re-closable! Handy box caddy provides compact storage and easy pull-tab dispenser so that bags are kept tiny and at your fingertips. Great for keeping tiny items conveniently separated and organized. Perfect for office supplies, craft organizing, jewelry parts, etc. (BEADS NOT INCLUDED)","175pc Clear Rectangle Plastic Bagettes","Design and Storage","Clear","Clear","Plastic","Organizers","Rectangle",,,"","2x3in","175pc","Design, &, Storage, Clear, Clear/Crystal, Plastic, Organizers, 2X3In, 175Pc, Rectangle, Bagettes, Clear","N","N",999999,"",1.4,2.79,3365,"https://www.cousindiy.com/diyimages/14770.jpg, https://www.cousindiy.com/diyimages/14770-2.jpg, https://www.cousindiy.com/diyimages/14770-3.jpg, https://www.cousindiy.com/diyimages/14770-4.jpg, https://www.cousindiy.com/diyimages/14770-5.jpg","Design and Storage","Organizers","Plastic"
"23132","900","Captivate your little crafters with these Multi-Color Dolphin Plastic Throw Bead Necklaces . Perfect for parties, camp hand outs, or gifts!","4pc Multi-Color Dolphin Plastic Throw Bead Necklaces","Kids","Multi","Multi","Plastic","Necklaces","Dolphin",,"","","","4pc","Throw","N","N",999999,"0.0",1,1.99,337,"https://www.cousindiy.com/diyimages/23132.jpg, https://www.cousindiy.com/diyimages/23132-2.jpg, https://www.cousindiy.com/diyimages/23132-3.jpg, https://www.cousindiy.com/diyimages/23132-4.jpg, https://www.cousindiy.com/diyimages/23132-5.jpg","Kids","Necklaces","Plastic"
"23316","900","Make your own fashion jewelry! This kit contains all the materials you need to make Multi-Color Multi 5 Bracelets . Use the included design pattern or get inspired to design your own. A great gift for friends and family!","90pc Multi-Color Multi Plastic Bracelet Kit","Kids, Kits","Green, Yellow, Purple, Pink, Red, Orange, Blue","Multi","Plastic","Jewelry kits","Multi",,,"","","90pc","Kits, Kids, Green, Yellow, Purple, Pink, Red, Orange, Blue, Multi, Plastic, Jewelry, Kits, 90Pc, Multi, Bracelet, Kit, Multi-Color","N","N",999999,"",2.5,4.99,698,"https://www.cousindiy.com/diyimages/23316.jpg, https://www.cousindiy.com/diyimages/23316-2.jpg, https://www.cousindiy.com/diyimages/23316-3.jpg, https://www.cousindiy.com/diyimages/23316-4.jpg, https://www.cousindiy.com/diyimages/23316-5.jpg","Kids","Jewelry kits","Plastic"
"29494181","900","Design an exquisitely embellished bracelet to match your gowns and dresses, with this 7in silver plate bracelet. Our Elegance line provides you with the best quality sterling silver beads and components for your finer artistic designs. Its simple yet delicate and elegant design serves as an ideal base for creating personalized bracelets. Embellish it with charms, beads and other jewelry accessories.   Twisted Oval link Sterling Silver Chain Bracelet Base Design an exquisitely embellished bracelet to match your gowns and dresses, with this 7in silver plate bracelet. Our Elegance line provides you with the best quality sterling silver beads and components for your finer artistic designs. Its simple yet delicate and elegant design serves as an ideal base for creating personalized bracelets. Embellish it with charms, beads and other jewelry accessories.  All of our sterling silver components are made of solid 925 Sterling silver.","1pc  Twisted Oval link Sterling Silver Chain Bracelet Base","Real and Plated Metals","Silver","Silver","Sterling Silver","Bracelets","Twisted Oval link",,"Silver","Sterling Silver","7in","1pc","Real and Plated, Metals, Jewelry, Bases, Silver, Silver, Sterling, Silver, Bracelets, Silver, 7In, 1Pc, Twisted, Oval, Link, Chain, Bracelet, Base, Silver","N","N",999999,"",3.75,7.49,139,"https://www.cousindiy.com/diyimages/29494181.jpg, https://www.cousindiy.com/diyimages/29494181-2.jpg, https://www.cousindiy.com/diyimages/29494181-3.jpg, https://www.cousindiy.com/diyimages/29494181-4.jpg, https://www.cousindiy.com/diyimages/29494181-5.jpg","Real and Plated Metals","Bracelets","Sterling Silver"
"2949421","900","Design truly refined jewelry with these  Lobster Claw Sterling Silver Clasps . They are essential elements in jewelry making. Use it to clasp chain, wire, and thread.  A must-have for jewelry makers! All of our sterling silver components are made of solid 925 Sterling silver.","3pc  Lobster Claw Sterling Silver Clasps","Real and Plated Metals","Silver","Silver","Sterling Silver","Clips and Clasps","Lobster Claw",,"Silver","","3x8mm","3pc","Real and Plated, Metals, Findings, Silver, Silver, Sterling, Silver, Clips, &, Clasps, Silver, 3X8Mm, 3Pc, Lobster, Claw, Clasps, Silver","N","N",999999,"",3,5.99,105,"https://www.cousindiy.com/diyimages/2949421.jpg, https://www.cousindiy.com/diyimages/2949421-2.jpg, https://www.cousindiy.com/diyimages/2949421-3.jpg, https://www.cousindiy.com/diyimages/2949421-4.jpg, https://www.cousindiy.com/diyimages/2949421-5.jpg","Real and Plated Metals","Clips and Clasps","Sterling Silver"
"2949423","900","Design truly refined jewelry with these  Ball Sterling Silver Head Pins . Use to connect different elements of your design. They can be used for drop charms, creating dangles or threading.  All of our sterling silver components are made of solid 925 Sterling silver.","12pc  Ball Sterling Silver Head Pins","Real and Plated Metals","Silver","Silver","Sterling Silver","Head Pins","Ball",,"Silver","Silver, Copper","1in","12pc","Real and Plated, Metals, Findings, Silver, Silver, Sterling, Silver, Head, Pins, Silver, 1In, 12Pc, Ball, Head, Pins, Silver","N","N",999999,"",3,5.99,55,"https://www.cousindiy.com/diyimages/2949423.jpg, https://www.cousindiy.com/diyimages/2949423-2.jpg, https://www.cousindiy.com/diyimages/2949423-3.jpg, https://www.cousindiy.com/diyimages/2949423-4.jpg, https://www.cousindiy.com/diyimages/2949423-5.jpg","Real and Plated Metals","Head Pins","Sterling Silver"
"29497012","900","Design truly refined jewelry with this  Twisted Gold Plated Metal Chain Necklace Base . Use as a base that is perfect to start off your necklace design.  All of our gold plated components are plated with real 14K gold.","1pc  Twisted Gold Plated Metal Chain Necklace Base","Real and Plated Metals","14K Gold","Gold","Gold Plated","Necklaces","Twisted",,"Gold","","18in","1pc","Real and Plated, Metals, Jewelry, Bases, Gold, Gold, Gold, Plated, Necklaces, Gold, 18In, 1Pc, Twisted, Chain, Necklace, Base, 14K, Gold","N","N",999999,"",6.5,12.99,92,"https://www.cousindiy.com/diyimages/29497012.jpg, https://www.cousindiy.com/diyimages/29497012-2.jpg, https://www.cousindiy.com/diyimages/29497012-3.jpg, https://www.cousindiy.com/diyimages/29497012-4.jpg, https://www.cousindiy.com/diyimages/29497012-5.jpg","Real and Plated Metals","Necklaces","Gold Plated"
"14780","900","These  Circle Plastic Cupettes are the perfect product for all of your jewelry storage needs. Cupettes are a fantastic tool to keep your beads, findings, and incomplete pieces together and organized. These sturdy cups seal shut with a secure lid and are packed in a handy dispenser for your convenience.  (BEADS NOT INCLUDED)","16Set  Circle Plastic Cupettes","Design and Storage","Clear","Clear","Plastic","Organizers","Circle",,,"","2.4x1.3in","16Set","Design, &, Storage, Clear, Clear/Crystal, Plastic, Organizers, 1. 75Oz, 16Set, Circle, Cupettes, Clear","N","N",999999,"",1.5,2.99,267,"https://www.cousindiy.com/diyimages/14780.jpg, https://www.cousindiy.com/diyimages/14780-2.jpg, https://www.cousindiy.com/diyimages/14780-3.jpg, https://www.cousindiy.com/diyimages/14780-4.jpg, https://www.cousindiy.com/diyimages/14780-5.jpg","Design and Storage","Organizers","Plastic"
"23126","900","Captivate your little crafters with these Multi-Color  Plastic Throw Bead Necklaces . Perfect for parties, camp hand outs, or gifts!","5pc Multi-Color  Plastic Throw Bead Necklaces","Kids","Rainbow","Multi","Plastic","Necklaces","",,,"","","5pc","Throw","N","N",999999,"0.0",1,1.99,1495,"https://www.cousindiy.com/diyimages/23126.jpg, https://www.cousindiy.com/diyimages/23126-2.jpg, https://www.cousindiy.com/diyimages/23126-3.jpg, https://www.cousindiy.com/diyimages/23126-4.jpg, https://www.cousindiy.com/diyimages/23126-5.jpg","Kids","Necklaces","Plastic"
"2949713","900","Design truly refined jewelry with these  Ball Gold Plated Metal Ear Posts . Ideal for custom dangle earrings. Don’t forget to pick an earring back style! All of our gold plated components are plated with real 14K gold.","4pc  Ball Gold Plated Metal Ear Posts","Real and Plated Metals","14K Gold","Gold","Gold Plated","Earring Findings","Ball",,"Gold","Gold, Copper","10x22mm","4pc","Gold, Elegance, 14K, Gold, Plate, Post, Ball, Loop","N","N",999999,"",2.5,4.99,799,"https://www.cousindiy.com/diyimages/2949713.jpg, https://www.cousindiy.com/diyimages/2949713-2.jpg, https://www.cousindiy.com/diyimages/2949713-3.jpg, https://www.cousindiy.com/diyimages/2949713-4.jpg, https://www.cousindiy.com/diyimages/2949713-5.jpg","Real and Plated Metals","Earring Findings","Gold Plated"
"2949721","900","Design truly refined jewelry with these  Lobster Claw Gold Plated Metal Clasps . They are essential elements in jewelry making. Use it to clasp chain, wire, and thread.  A must-have for jewelry makers! All of our gold plated components are plated with real 14K gold.","3pc  Lobster Claw Gold Plated Metal Clasps","Real and Plated Metals","14K Gold","Gold","Gold Plated","Clips and Clasps","Lobster Claw",,"Gold","Gold, Copper","3x8mm","3pc","Real and Plated, Metals, 14K, Gold, Gold, Gold, Plated, Clips, &, Clasps, Gold, 3X8Mm, 3Pc, Lobster, Claw, Clasps, 14K, Gold","N","N",999999,"",2.5,4.99,2173,"https://www.cousindiy.com/diyimages/2949721.jpg, https://www.cousindiy.com/diyimages/2949721-2.jpg, https://www.cousindiy.com/diyimages/2949721-3.jpg, https://www.cousindiy.com/diyimages/2949721-4.jpg, https://www.cousindiy.com/diyimages/2949721-5.jpg","Real and Plated Metals","Clips and Clasps","Gold Plated"
"2949448","900","Design truly refined jewelry with these  Circle Sterling Silver Open Jump Rings . Use to connect different elements of your design. Jump rings are perfect for adding clasps or charms to necklaces, bracelets and earwires. A solid ring allows for sturdy connections.  All of our sterling silver components are made of solid 925 Sterling silver.","16pc  Circle Sterling Silver Open Jump Rings","Real and Plated Metals","Silver","Silver","Sterling Silver","Split and Jump Rings","Circle",,"Silver","Silver, Copper","6mm","16pc","Findings, Sterling, Silver, Elegance, Open, Jump, Ring","N","N",999999,"",4,7.99,720,"https://www.cousindiy.com/diyimages/2949448.jpg, https://www.cousindiy.com/diyimages/2949448-2.jpg, https://www.cousindiy.com/diyimages/2949448-3.jpg, https://www.cousindiy.com/diyimages/2949448-4.jpg, https://www.cousindiy.com/diyimages/2949448-5.jpg","Real and Plated Metals","Split and Jump Rings","Sterling Silver"
"23214","900","Captivate your little crafters with these Multi-Color  Plastic Throw Bead Necklaces . Perfect for parties, camp hand outs, or gifts!","4pc Multi-Color  Plastic Throw Bead Necklaces","Kids","Multi","Multi","Plastic","Necklaces","",,"","","","4pc","Throw","N","N",999999,"0.0",1,1.99,1495,"https://www.cousindiy.com/diyimages/23214.jpg, https://www.cousindiy.com/diyimages/23214-2.jpg, https://www.cousindiy.com/diyimages/23214-3.jpg, https://www.cousindiy.com/diyimages/23214-4.jpg, https://www.cousindiy.com/diyimages/23214-5.jpg","Kids","Necklaces","Plastic"
"2591625","900","These trendy Gold Corner Drilled Square Metal Beads will add the perfect touch to any of your creations! Make something uniquely you that stands out in the crowd! Beads are multifunctional - you can use them in all sorts of craft projects; from jewelry, to embellishments, to even sculpture. Get inspired to create!","16pc Gold Corner Drilled Square Metal Beads","Beads","Gold","Gold","Base Metal","Metal Beads","Corner Drilled Square",,"Gold","","10mm","16pc","Metal, Diamond, Bd, Gold, Beads, 16, Piece, 10Mm","N","N",999999,"",1,1.99,347,"https://www.cousindiy.com/diyimages/2591625.jpg, https://www.cousindiy.com/diyimages/2591625-2.jpg, https://www.cousindiy.com/diyimages/2591625-3.jpg, https://www.cousindiy.com/diyimages/2591625-4.jpg, https://www.cousindiy.com/diyimages/2591625-5.jpg","Beads","Metal Beads","Base Metal"
"23137","900","Captivate your little crafters with these Multi-Color Rosebud Plastic Throw Bead Necklaces . Perfect for parties, camp hand outs, or gifts!","4pc Multi-Color Rosebud Plastic Throw Bead Necklaces","Kids","Multi","Multi","Plastic","Necklaces","Rosebud",,"","","","4pc","Throw","N","N",999999,"0.0",1,1.99,424,"https://www.cousindiy.com/diyimages/23137.jpg, https://www.cousindiy.com/diyimages/23137-2.jpg, https://www.cousindiy.com/diyimages/23137-3.jpg, https://www.cousindiy.com/diyimages/23137-4.jpg, https://www.cousindiy.com/diyimages/23137-5.jpg","Kids","Necklaces","Plastic"
"23702","900","This   Bead Scoop and Tweezers Set is fantastic for jewelry making. These tools especially come in handy when working with smaller beads, helping you achieve precision work while beading, knotting or crafting.","2pc   Bead Scoop And Tweezers Set","Tools","Silver","Silver","Stainless Steel","Misc Tools","",,"Silver","Stainless Steel","6-6.5in","2pc","Silver, Stainless, Steel, Stainless, Steel, 6-6. 5In, Misc, Tools, Scoop, Tweezer, Tools,","N","N",999999,"",2,3.99,521,"https://www.cousindiy.com/diyimages/23702.jpg, https://www.cousindiy.com/diyimages/23702-2.jpg, https://www.cousindiy.com/diyimages/23702-3.jpg, https://www.cousindiy.com/diyimages/23702-4.jpg, https://www.cousindiy.com/diyimages/23702-5.jpg","Tools","Misc Tools","Stainless Steel"
"2949759","900","Design truly refined jewelry with these  fluted round Gold Plated Metal Beads . They will add the perfect touch to any of your creations! Make something uniquely you that stands out in the crowd! Beads are multifunctional - you can use them in all sorts of craft projects; from jewelry, to embellishments, to even sculpture. Get inspired to create! All of our gold plated components are plated with real 14K gold.","4pc  fluted round Gold Plated Metal Beads","Real and Plated Metals","14K Gold","Gold","Gold Plated","Metal Beads","fluted round",,"Gold","Gold, Copper","5mm","4pc","Real and Plated, Metals, 14K, Gold, Gold, Gold, Plated, Metal, Beads, Gold, 5Mm, 4Pc, Fluted, Round, Beads, 14K, Gold","N","N",999999,"",2.5,4.99,1202,"https://www.cousindiy.com/diyimages/2949759.jpg, https://www.cousindiy.com/diyimages/2949759-2.jpg, https://www.cousindiy.com/diyimages/2949759-3.jpg, https://www.cousindiy.com/diyimages/2949759-4.jpg, https://www.cousindiy.com/diyimages/2949759-5.jpg","Real and Plated Metals","Metal Beads","Gold Plated"
"2949723","900","Design truly refined jewelry with these  Ball Gold Plated Metal Head Pins . Use to connect different elements of your design. They can be used for drop charms, creating dangles or threading.  All of our gold plated components are plated with real 14K gold.","12pc  Ball Gold Plated Metal Head Pins","Real and Plated Metals","14K Gold","Gold","Gold Plated","Head Pins","Ball",,"Gold","Gold, Copper","1in","12pc","Real and Plated, Metals, Findings, 14K, Gold, Gold, Gold, Plated, Head, Pins, Gold, 1In, 12Pc, Ball, Head, Pins, 14K, Gold","N","N",999999,"",2.5,4.99,535,"https://www.cousindiy.com/diyimages/2949723.jpg, https://www.cousindiy.com/diyimages/2949723-2.jpg, https://www.cousindiy.com/diyimages/2949723-3.jpg, https://www.cousindiy.com/diyimages/2949723-4.jpg, https://www.cousindiy.com/diyimages/2949723-5.jpg","Real and Plated Metals","Head Pins","Gold Plated"
