"vItemNumber","vLocation","vDescription","vShortDesc","vLook","vGenColor","vGenItemType","vMetalColor","vSizeType","vKeywords","vSorting","vAggregation","vMaterialDesc","vFeatureDesc","vDetailDesc","itemprice_1","itemprice_2"
"18229LPNK","800","Feeling the Monday blues, or need a mid-day pick me up, or maybe just wanting a relaxing cup of tea? Whatever the case, enjoy your hot cup of coffee, or your favorite hot latte in a Mantra mug this season. When room temperature, or cold, these mugs are solid black with a design of your choosing. But, it gets better than that, when filled with a hot beverage of your choice, your mantra magically appears and the full design is displayed. Who knew a cup of coffee could look so good?","Color-Changing Mantra Mug - ""Everything happens for a reason.""","Mantra","Purple","Mugs","","","Coffee, Tea, Mug, Cup, Bone, China, Heat, Sensitive, Changing, Color, Mandala, Yoga, Pink, Purple, Black, Yoga",214,,"High quality new bone china with heat-sensitive changing design","Style # 18229","12oz | Designed In The USA",7.5,14.99
"18229LBLW","800","Feeling the Monday blues, or need a mid-day pick me up, or maybe just wanting a relaxing cup of tea? Whatever the case, enjoy your hot cup of coffee, or your favorite hot latte in a Mantra mug this season. When room temperature, or cold, these mugs are solid black with a design of your choosing. But, it gets better than that, when filled with a hot beverage of your choice, your mantra magically appears and the full design is displayed. Who knew a cup of coffee could look so good?","Color-Changing Mantra Mug - ""I am exactly where I am supposed to be""","Mantra","White","Mugs","","","Coffee, Tea, Mug, Cup, Bone, China, Heat, Sensitive, Changing, Color, Black, White, Compass, Lighthouse",214,,"High quality new bone china with heat-sensitive changing design","Style # 18229","12oz | Designed In The USA",7.5,14.99
"18229LBLU","800","Feeling the Monday blues, or need a mid-day pick me up, or maybe just wanting a relaxing cup of tea? Whatever the case, enjoy your hot cup of coffee, or your favorite hot latte in a Mantra mug this season. When room temperature, or cold, these mugs are solid black with a design of your choosing. But, it gets better than that, when filled with a hot beverage of your choice, your mantra magically appears and the full design is displayed. Who knew a cup of coffee could look so good?","Color-Changing Mantra Mug - ""Life is tough my darling, but so are you.""","Mantra","Green","Mugs","","","Coffee, Tea, Mug, Cup, Bone, China, Heat, Sensitive, Changing, Color, Blue, Green, Black, Peacock, Swirl",214,,"High quality new bone china with heat-sensitive changing design","Style # 18229","12oz | Designed In The USA",7.5,14.99
"18229LBLR","800","Feeling the Monday blues, or need a mid-day pick me up, or maybe just wanting a relaxing cup of tea? Whatever the case, enjoy your hot cup of coffee, or your favorite hot latte in a Mantra mug this season. When room temperature, or cold, these mugs are solid black with a design of your choosing. But, it gets better than that, when filled with a hot beverage of your choice, your mantra magically appears and the full design is displayed. Who knew a cup of coffee could look so good?","Color-Changing Mantra Mug - ""Find the courage to let go of what you cannot change.""","Mantra","Blue","Mugs","","","Coffee, Tea, Mug, Cup, Bone, China, Heat, Sensitive, Changing, Color, Blue, Red, Bird, Black",214,,"High Quality New Bone China with Heat-Sensitive Changing Design","Style # 18229","12oz | Designed In The USA",7.5,14.99
"18229LPCH","800","Feeling the Monday blues, or need a mid-day pick me up, or maybe just wanting a relaxing cup of tea? Whatever the case, enjoy your hot cup of coffee, or your favorite hot latte in a Mantra mug this season. When room temperature, or cold, these mugs are solid black with a design of your choosing. But, it gets better than that, when filled with a hot beverage of your choice, your mantra magically appears and the full design is displayed. Who knew a cup of coffee could look so good?","Color-Changing Mantra Mug - ""Eat, Pray, Slay.""","Mantra","Pink","Mugs","","","Coffee, Tea, Mug, Cup, Bone, China, Heat, Sensitive, Changing, Color, Girl, Pink, Black, Sunglasses, Slay, Pray",214,,"High quality new bone china with heat-sensitive changing design","Style # 18229","12oz | Designed In The USA",7.5,14.99
"18229LBRN","800","Feeling the Monday blues, or need a mid-day pick me up, or maybe just wanting a relaxing cup of tea? Whatever the case, enjoy your hot cup of coffee, or your favorite hot latte in a Mantra mug this season. When room temperature, or cold, these mugs are solid black with a design of your choosing. But, it gets better than that, when filled with a hot beverage of your choice, your mantra magically appears and the full design is displayed. Who knew a cup of coffee could look so good?","Color-Changing Mantra Mug - ""Be the energy you want to attract""","Mantra","Brown","Mugs","","","Coffee, Tea, Mug, Cup, Bone, China, Heat, Sensitive, Changing, Color, Energy, Elephant, Blue, Brown, Black",214,,"High quality new bone china with heat-sensitive changing design","Style # 18229","12oz | Designed In The USA",7.5,14.99
"18229LRED","800","Feeling the Monday blues, or need a mid-day pick me up, or maybe just wanting a relaxing cup of tea? Whatever the case, enjoy your hot cup of coffee, or your favorite hot latte in a Mantra mug this season. When room temperature, or cold, these mugs are solid black with a design of your choosing. But, it gets better than that, when filled with a hot beverage of your choice, your mantra magically appears and the full design is displayed. Who knew a cup of coffee could look so good?","Color-Changing Mantra Mug - ""Believe in your #selfie""","Mantra","Maroon","Mugs","","","Coffee, Tea, Mug, Cup, Bone, China, Heat, Sensitive, Changing, Color, Maroon, Camera, Flowers, Selfie",214,,"High quality new bone china with heat-sensitive changing design","Style # 18229","12oz | Designed In The USA",7.5,14.99
"18229LBWT","800","Feeling the Monday blues, or need a mid-day pick me up, or maybe just wanting a relaxing cup of tea? Whatever the case, enjoy your hot cup of coffee, or your favorite hot latte in a Mantra mug this season. When room temperature, or cold, these mugs are solid black with a design of your choosing. But, it gets better than that, when filled with a hot beverage of your choice, your mantra magically appears and the full design is displayed. Who knew a cup of coffee could look so good?","Color-Changing Mantra Mug - ""New Adventures Await""","Mantra","Black","Mugs","","","Coffee, Tea, Mug, Cup, Bone, China, Heat, Sensitive, Changing, Color, Key, Black, White, Adventure",214,,"High quality new bone china with heat-sensitive changing design","Style # 18229","12oz | Designed In The USA",7.5,14.99
"18300LPCK","800","Dear diary… The outside of this hardcover journal is a matte design with your mantra printed on the inside ribbon for only you to see, it's between you… and you. Whether writing your to-do list, keeping personal notes to yourself, or using this as a stylish coffee table book, you'll always be reminded of your personal mantra. This journal has 100 lined pages that are also perforated. There is also an inside pocket for you to store any loose papers you may have!","Mantra Journal - ""Life is tough my darling, but so are you.""","Mantra","Green","Journals","","","Journal, paper, notebook, bookmark, ribbon, pocket, planner, blue, green, black, peacock, swirl",214,,"Matte finish hard cover with 100 lined pages and satin ribbon","Hard cover | Hidden Mantra ribbon | 100 lined pages | Accordion-style pocket | Style # 18300","8.5""L x 6""W | Designed in the USA",7.5,14.99
"18300LCMS","800","Dear diary… The outside of this hardcover journal is a matte design with your mantra printed on the inside ribbon for only you to see, it's between you… and you. Whether writing your to-do list, keeping personal notes to yourself, or using this as a stylish coffee table book, you'll always be reminded of your personal mantra. This journal has 100 lined pages that are also perforated. There is also an inside pocket for you to store any loose papers you may have!","Mantra Journal - ""I am exactly where I am supposed to be""","Mantra","Black","Journals","","","Journal, paper, notebook, bookmark, ribbon, pocket, planner, black, white, compass, lighthouse",214,,"Matte finish hard cover with 100 lined pages and satin ribbon","Hard cover | Hidden Mantra ribbon | 100 lined pages | Accordion-style pocket | Style # 18300","8.5""L x 6""W | Designed in the USA",7.5,14.99
